Specialization,Talent,Row,ColStart,ColSpan,Cost,UpLink,DownLink,LeftLink,RightLink,Description Found?,Column1
Advisor,Plausible Deniability,1,1,1,5,FALSE,TRUE,FALSE,FALSE,TRUE,Remove :bk: per rank of Plausible Deniability frrom Coercion and Deception check.
Advisor,Know Somebody,1,2,1,5,FALSE,TRUE,FALSE,FALSE,TRUE,"Once per session, when attempting to purchase a legally available item, reduce its rarity by 1 per rank of Know Somebody."
Advisor,Grit,1,3,1,5,FALSE,TRUE,FALSE,FALSE,TRUE,Gain +1 Strain Threshold.
Advisor,Kill With Kindness,1,4,1,5,FALSE,TRUE,FALSE,FALSE,TRUE,Remove :bk: per rank of Kill With Kindness from all Charm and Leadership checks.
Advisor,Toughened,2,1,1,10,TRUE,TRUE,FALSE,FALSE,TRUE,Gain +2 wound threshold.
Advisor,Know Somebody,2,2,1,10,TRUE,FALSE,FALSE,FALSE,TRUE,"Once per session, when attempting to purchase a legally available item, reduce its rarity by 1 per rank of Know Somebody."
Advisor,Knowledge Is Power,2,3,1,10,TRUE,FALSE,FALSE,FALSE,TRUE,"Once per session. When making a check, count Force rating as being equal to ranks in Knowledge (Lore)."
Advisor,Nobody's Fool,2,4,1,10,TRUE,TRUE,FALSE,FALSE,TRUE,"Upgrade difficulty of incoming Charm, Coercion, and Deception checks once per rank of Nobody's Fool."
Advisor,Grit,3,1,1,15,TRUE,TRUE,FALSE,FALSE,TRUE,Gain +1 Strain Threshold.
Advisor,Smooth Talker,3,2,1,15,FALSE,TRUE,FALSE,TRUE,TRUE,"When first acquired, choose 1 skill: Charm, Coercion, Deception or Negotiation. When making checks with that skill, spend :tri: to gain additional :suc: equal to ranks in Smooth Talker."
Advisor,Smooth Talker,3,3,1,15,FALSE,TRUE,TRUE,TRUE,TRUE,"When first acquired, choose 1 skill: Charm, Coercion, Deception or Negotiation. When making checks with that skill, spend :tri: to gain additional :suc: equal to ranks in Smooth Talker."
Advisor,Plausible Deniability,3,4,1,15,TRUE,TRUE,TRUE,FALSE,TRUE,Remove :bk: per rank of Plausible Deniability frrom Coercion and Deception check.
Advisor,Nobody's Fool,4,1,1,20,TRUE,TRUE,FALSE,TRUE,TRUE,"Upgrade difficulty of incoming Charm, Coercion, and Deception checks once per rank of Nobody's Fool."
Advisor,Natural Charmer,4,2,1,20,TRUE,FALSE,TRUE,TRUE,TRUE,"Once per session, may re-roll any 1 Charm or Deception check."
Advisor,Contingency Plan,4,3,1,20,TRUE,TRUE,TRUE,TRUE,TRUE,Spend 1 Destiny Point to recover strain equal to Cunning rating.
Advisor,Sense Emotions,4,4,1,20,TRUE,TRUE,TRUE,FALSE,TRUE,"Add :bl: to all Charm, Coercion and Deception checks unless the target is immune to Force powers."
Advisor,Dedication,5,1,1,25,TRUE,FALSE,FALSE,TRUE,TRUE,Gain +1 to a single characteristic. This cannot bring a characteristic above 6.
Advisor,Steely Nerves,5,2,1,25,FALSE,FALSE,TRUE,TRUE,TRUE,Spend 1 Destiny Point to ignore effects of Critical Injuries on Willpower or Presence checks until the end of the encounter.
Advisor,Force Rating,5,3,1,25,TRUE,FALSE,TRUE,FALSE,TRUE,Gain +1 Force Rating.
Advisor,Sense Advantage,5,4,1,25,TRUE,FALSE,FALSE,FALSE,TRUE,"Once per session, may add :bk: :bk: to 1 NPC's skill check."
Peacekeeper,Command,1,1,1,5,FALSE,TRUE,FALSE,FALSE,TRUE,Add :bl: per rank of Command when making Leadership checks. Affected targets add :bl: to Discipline checks for next 24 hours.
Peacekeeper,Confidence,1,2,1,5,FALSE,FALSE,FALSE,FALSE,TRUE,May decrease difficulty of Deiscipline checks to avoid fear by 1 per rank of Confidence
Peacekeeper,Second Wind,1,3,1,5,FALSE,FALSE,FALSE,FALSE,TRUE,"Once per encounter, may use Second Wind incidental to recover strain equal to ranks in Second Wind."
Peacekeeper,Commanding Presence,1,4,1,5,FALSE,TRUE,FALSE,FALSE,TRUE,Remove :bk: per rank of Commanding Presence from Leadership and Cool checks.
Peacekeeper,Commanding Presence,2,1,1,10,TRUE,FALSE,FALSE,TRUE,TRUE,
Peacekeeper,Toughened,2,2,1,10,FALSE,TRUE,TRUE,TRUE,TRUE,Gain +2 wound threshold.
Peacekeeper,Second Wind,2,3,1,10,FALSE,TRUE,TRUE,TRUE,TRUE,"Once per encounter, may use Second Wind incidental to recover strain equal to ranks in Second Wind."
Peacekeeper,Confidence,2,4,1,10,TRUE,FALSE,TRUE,FALSE,TRUE,May decrease difficulty of Deiscipline checks to avoid fear by 1 per rank of Confidence
Peacekeeper,Toughened,3,1,1,15,FALSE,TRUE,FALSE,TRUE,TRUE,Gain +2 wound threshold.
Peacekeeper,Enhanced Leader,3,2,1,15,TRUE,FALSE,TRUE,TRUE,TRUE,When making a Leadership check. add :wh: no greater than Force rating. Spend :ldsp: to add :suc: or :adv: to the resuIt.
Peacekeeper,Command,3,3,1,15,TRUE,FALSE,TRUE,TRUE,TRUE,Add :bl: per rank of Command when making Leadership checks. Affected targets add :bl: to Discipline checks for next 24 hours.
Peacekeeper,Field Commander,3,4,1,15,FALSE,TRUE,TRUE,FALSE,TRUE,Take the Field Commander action: make an Average (:pu: :pu:) Leadership check. A number of allies equal to Presence may immediately suffer 1 strain to perform 1 free maneuver.
Peacekeeper,Steely Nerves,4,1,1,20,TRUE,TRUE,FALSE,TRUE,TRUE,Spend 1 Destiny Point to ignore effects of Critical Injuries on Willpower or Presence checks until the end of the encounter.
Peacekeeper,Second Wind,4,2,1,20,FALSE,TRUE,TRUE,TRUE,TRUE,"Once per encounter, may use Second Wind incidental to recover strain equal to ranks in Second Wind."
Peacekeeper,Toughened,4,3,1,20,FALSE,TRUE,TRUE,TRUE,TRUE,Gain +2 wound threshold.
Peacekeeper,Field Commander (Improved),4,4,1,20,TRUE,TRUE,TRUE,FALSE,TRUE,"Field Commander action affects allies equal to double Presence, and may spend :tri: to allow allies to suffer 1 strain and perform 1 free action instead."
Peacekeeper,Unity Assault,5,1,1,25,TRUE,FALSE,FALSE,FALSE,TRUE,If a missed combat check generates :tri: or :adv: :adv: :adv: may spend to perform Force power targeting allies as a maneuver.
Peacekeeper,Dedication,5,2,1,25,TRUE,FALSE,FALSE,FALSE,TRUE,Gain +1 to a single characteristic. This cannot bring a characteristic above 6.
Peacekeeper,Force Rating,5,3,1,25,TRUE,FALSE,FALSE,FALSE,TRUE,Gain +1 Force Rating.
Peacekeeper,Natural Leader,5,4,1,25,TRUE,FALSE,FALSE,FALSE,TRUE,Once per session. may reroll any 1 Cool or Leadership check.
Advocate,Plausible Deniability,1,1,1,5,FALSE,TRUE,FALSE,FALSE,TRUE,Remove :bk: per rank of Plausible Deniability frrom Coercion and Deception check.
Advocate,Nobody's Fool,1,2,1,5,FALSE,FALSE,FALSE,FALSE,TRUE,"Upgrade difficulty of incoming Charm, Coercion, and Deception checks once per rank of Nobody's Fool."
Advocate,Grit,1,3,1,5,FALSE,TRUE,FALSE,FALSE,TRUE,Gain +1 Strain Threshold.
Advocate,Confidence,1,4,1,5,FALSE,TRUE,FALSE,FALSE,TRUE,May decrease difficulty of Deiscipline checks to avoid fear by 1 per rank of Confidence
Advocate,Discredit,2,1,1,10,TRUE,TRUE,FALSE,TRUE,FALSE,
Advocate,Plausible Deniability,2,2,1,10,FALSE,TRUE,TRUE,FALSE,TRUE,Remove :bk: per rank of Plausible Deniability frrom Coercion and Deception check.
Advocate,Supporting Evidence,2,3,1,10,TRUE,FALSE,FALSE,TRUE,FALSE,
Advocate,Nobody's Fool,2,4,1,10,TRUE,TRUE,TRUE,FALSE,TRUE,"Upgrade difficulty of incoming Charm, Coercion, and Deception checks once per rank of Nobody's Fool."
Advocate,Twisted Words,3,1,1,15,TRUE,TRUE,FALSE,TRUE,FALSE,
Advocate,Plausible Deniability (Improved),3,2,1,15,TRUE,TRUE,TRUE,FALSE,FALSE,
Advocate,Grit,3,3,1,15,FALSE,TRUE,FALSE,TRUE,TRUE,Gain +1 Strain Threshold.
Advocate,Encouraging Words,3,4,1,15,TRUE,TRUE,TRUE,FALSE,FALSE,
Advocate,Plausible Deniability,4,1,1,20,TRUE,TRUE,FALSE,TRUE,TRUE,Remove :bk: per rank of Plausible Deniability frrom Coercion and Deception check.
Advocate,Grit,4,2,1,20,TRUE,FALSE,TRUE,FALSE,TRUE,Gain +1 Strain Threshold.
Advocate,Supporting Evidence,4,3,1,20,TRUE,TRUE,FALSE,TRUE,FALSE,
Advocate,Grit,4,4,1,20,TRUE,TRUE,TRUE,FALSE,TRUE,Gain +1 Strain Threshold.
Advocate,Blackmail,5,1,1,25,TRUE,FALSE,FALSE,TRUE,FALSE,
Advocate,Dedication,5,2,1,25,FALSE,FALSE,TRUE,TRUE,TRUE,Gain +1 to a single characteristic. This cannot bring a characteristic above 6.
Advocate,Interjection,5,3,1,25,TRUE,FALSE,TRUE,TRUE,FALSE,
Advocate,Contingency Plan,5,4,1,25,TRUE,FALSE,TRUE,FALSE,TRUE,
Modder,Tinkerer,1,1,1,5,FALSE,TRUE,FALSE,FALSE,TRUE,May add 1 additional hard point to a number of items equal to ranks in Tinkerer. Each item may only be modified once.
Modder,Resolve,1,2,1,5,FALSE,TRUE,FALSE,FALSE,FALSE,
Modder,Know Somebody,1,3,1,5,FALSE,TRUE,FALSE,FALSE,TRUE,"Once per session, when attempting to purchase a legally available item, reduce its rarity by 1 per rank of Know Somebody."
Modder,Signature Vehicle,1,4,1,5,FALSE,TRUE,FALSE,FALSE,FALSE,
Modder,Gearhead,2,1,1,10,TRUE,TRUE,FALSE,TRUE,TRUE,Remove :bk: per rank of Gearhead from Meehanics checks. Halve the credit cost to add mods to attachments.
Modder,Tinkerer,2,2,1,10,TRUE,TRUE,TRUE,FALSE,TRUE,May add 1 additional hard point to a number of items equal to ranks in Tinkerer. Each item may only be modified once.
Modder,Fancy Paint Job,2,3,1,10,TRUE,TRUE,FALSE,TRUE,FALSE,
Modder,Larger Project,2,4,1,10,TRUE,TRUE,TRUE,FALSE,FALSE,
Modder,Resourceful Refit,3,1,1,15,TRUE,TRUE,FALSE,TRUE,FALSE,
Modder,Resolve,3,2,1,15,TRUE,TRUE,TRUE,FALSE,FALSE,
Modder,Larger Project,3,3,1,15,TRUE,FALSE,FALSE,TRUE,FALSE,
Modder,Toughened,3,4,1,15,TRUE,TRUE,TRUE,FALSE,TRUE,Gain +2 wound threshold.
Modder,Jury Rigged,4,1,1,20,TRUE,FALSE,FALSE,FALSE,TRUE,"Choose 1 weapon, armor, or other item and give it a permanent improvement while it remains in use."
Modder,Hidden Storage,4,2,1,20,TRUE,TRUE,FALSE,TRUE,FALSE,
Modder,Tinkerer,4,3,1,20,FALSE,TRUE,TRUE,TRUE,TRUE,May add 1 additional hard point to a number of items equal to ranks in Tinkerer. Each item may only be modified once.
Modder,Gearhead,4,4,1,20,TRUE,TRUE,TRUE,FALSE,TRUE,
Modder,Jury Rigged,5,1,1,25,FALSE,FALSE,FALSE,TRUE,TRUE,"Choose 1 weapon, armor, or other item and give it a permanent improvement while it remains in use."
Modder,Dedication,5,2,1,25,TRUE,FALSE,TRUE,TRUE,TRUE,Gain +1 to a single characteristic. This cannot bring a characteristic above 6.
Modder,Natural Tinkerer,5,3,1,25,TRUE,FALSE,TRUE,FALSE,FALSE,
Modder,Custom Loadout,5,4,1,25,TRUE,FALSE,FALSE,FALSE,FALSE,
Assassin,Grit,1,1,1,5,0,1,0,0,TRUE,Gain +1 Strain Threshold.
Assassin,Lethal Blows,1,2,1,5,0,1,0,0,TRUE,Add +10 per rank of Lethal Blows to any Critical Injury results inflicted on opponents.
Assassin,Stalker,1,3,1,5,0,1,0,0,TRUE,Add :bl: per rank of Stalker to all Stealth and Coordination checks.
Assassin,Dodge,1,4,1,5,0,1,0,0,TRUE,"When targeted by a combat check, may perform a dodge incidental to suffer a number of strain no greater than ranks of Dogde, then upgrade the difficulty of the check by that number."
Assassin,Precise Aim,2,1,1,10,1,1,0,1,TRUE,"Once per round, may perform Precise Aim maneuver. Suffer a number of strain no greater than ranks in Precise Aim, then reduce target's melee and ranged defense by that number."
Assassin,Jump Up,2,2,1,10,1,1,1,1,TRUE,"Once per round, may stand from seated or prone as an incidental."
Assassin,Quick Strike,2,3,1,10,1,1,1,1,TRUE,Add :bl: per rank of Quick Strike to combat checks against targets that have not acted yet this encounter.
Assassin,Quick Draw,2,4,1,10,1,1,1,0,TRUE,"Once per round, draw or holster a weapon or accessible item as an incidental."
Assassin,Targeted Blow,3,1,1,15,1,1,0,0,TRUE,"After making a successful attack, may spend 1 Destiny Point to add damage equal to Agility to one hit."
Assassin,Stalker,3,2,1,15,1,1,0,1,TRUE,
Assassin,Lethal Blows,3,3,1,15,1,1,1,0,TRUE,
Assassin,Anatomy Lessons,3,4,1,15,1,1,0,0,TRUE,"After making a successful attack, may spend 1 Destiny Point to add damage equal to Intellect to one hit."
Assassin,Stalker,4,1,1,20,1,1,0,1,TRUE,
Assassin,Sniper Shot,4,2,1,20,1,1,1,0,TRUE,"Before making a non-thrown ranged attack, may perform a Sniper Shot maneuver to increase the weapon's range by 1 range band per rank in Sniper Shot. Upgrade the difficulty of the attack by 1 per range band increase."
Assassin,Dodge,4,3,1,20,1,1,0,0,TRUE,
Assassin,Lethal Blows,4,4,1,20,1,1,0,0,TRUE,
Assassin,Precise Aim,5,1,1,25,1,0,0,0,TRUE,
Assassin,Deadly Accuracy,5,2,1,25,1,0,0,0,TRUE,"When acquired, choose 1 combat skill. Add damage equal to ranks in that skill to one hit of successful attack made using that skill."
Assassin,Dedication,5,3,1,25,1,0,0,0,TRUE,Gain +1 to a single characteristic. This cannot bring a characteristic above 6.
Assassin,Master of Shadows,5,4,1,25,1,0,0,0,TRUE,"Once per round, suffer 2 strain to decrease the difficulty of next Stealth or Skulduggery check by one."
Gadgeteer,Brace,1,1,1,5,0,0,0,0,TRUE,Perform the Brace maneuver to remove :bk: per rank of Brace from the next Action. This may only remove :bk: added by environmental circumstances.
Gadgeteer,Toughened,1,2,1,5,0,1,0,0,TRUE,
Gadgeteer,Intimidating,1,3,1,5,0,0,0,0,TRUE,"May suffer a number of strain to downgrade difficulty of Coercion checks, or upgrade the difficulty when targeted by Coercion checks, by an equal number. Strain suffered this way cannot exceed ranks in Intimidating."
Gadgeteer,Defensive Stance,1,4,1,5,0,1,0,0,TRUE,"Once per round, may perform Defensive Stance maneuver and suffer a number of strain to upgrade difficulty of all incoming melee attacks by an equal number. Strain suffered this way cannot exceed ranks in Defensive Stance."
Gadgeteer,Spare Clip,2,1,1,10,1,0,0,1,TRUE,Cannot run out of ammo due to :des:. Items with Limited Ammo quality run out of ammo as normal.
Gadgeteer,Jury Rigged,2,2,1,10,0,1,1,1,TRUE,"Choose 1 weapon, armor, or other item and give it a permanent improvement while it remains in use."
Gadgeteer,Point Blank,2,3,1,10,0,0,1,0,TRUE,Add 1 damage per rank of Point Blank to damage of one hit of successful attack while using Ranged (Heavy) or Ranged (Light) skills at close range or engaged.
Gadgeteer,Disorient,2,4,1,10,1,1,0,0,TRUE,"After hitting with combat check, may spend :adv: :adv: to disorient target for number of rounds equal to ranks in disorient."
Gadgeteer,Toughened,3,1,1,15,1,0,0,1,TRUE,
Gadgeteer,Armor Master,3,2,1,15,0,1,1,1,TRUE,"When wearing armor, increase total soak value by 1."
Gadgeteer,Natural Enforcer,3,3,1,15,0,0,1,0,TRUE,"Once per session, may re-roll any 1 Coercion or Streetwise check."
Gadgeteer,Stunning Blow,3,4,1,15,1,1,0,0,TRUE,"When making Melee checks, may inflict damage as strain instead of wounds. This does not ignore soak."
Gadgeteer,Jury Rigged,4,1,1,20,1,0,0,1,TRUE,
Gadgeteer,Tinkerer,4,2,1,20,0,1,1,1,TRUE,May add 1 additional hard point to a number of items equal to ranks in Tinkerer. Each item may only be modified once.
Gadgeteer,Deadly Accuracy,4,3,1,20,0,0,1,0,TRUE,
Gadgeteer,Stunning Blow (Improved),4,4,1,20,1,1,0,0,TRUE,"When dealing strain damage with Melee or Brawl checks, may spend :tri: to stagger target for 1 round per :tri:."
Gadgeteer,Intimidating,5,1,1,25,1,0,0,1,TRUE,
Gadgeteer,Dedication,5,2,1,25,0,0,1,1,TRUE,
Gadgeteer,Armor Master (Improved),5,3,1,25,0,0,1,0,TRUE,"When wearing armor with a soak value of 2 or higher, increase defense by 1."
Gadgeteer,Crippling Blow,5,4,1,25,1,0,0,0,TRUE,"Increase the difficulty of next combat check by 1. If check deals damage, target suffers 1 strain whenever he moves for the remainder of the encounter."
Armorer,Grit,1,1,1,5,0,0,0,0,TRUE,
Armorer,Toughened,1,2,1,5,0,0,0,0,TRUE,
Armorer,Gearhead,1,3,1,5,0,1,0,0,TRUE,Remove :bk: per rank of Gearhead from Meehanics checks. Halve the credit cost to add mods to attachments.
Armorer,Inventor,1,4,1,5,0,1,0,0,TRUE,"When constructing new items or modifying attachments, add :bl: or remove :bk: per rank of lnventor."
Armorer,Saber Throw,2,1,1,10,0,1,0,0,TRUE,"Perform Saber Throw action, make Lightsaber combat check as ranged attack at target within medium range, adding :wh: no greater than Force rating. Must spcnd :ldsp: and succeed to hit target; spend :ldsp: to have weapon return to hand."
Armorer,Armor Master,2,2,1,10,0,1,0,1,TRUE,
Armorer,Grit,2,3,1,10,1,0,1,0,TRUE,
Armorer,Gearhead,2,4,1,10,1,1,0,0,TRUE,
Armorer,Toughened,3,1,1,15,1,1,0,0,TRUE,
Armorer,Armor Master (Improved),3,2,1,15,1,1,0,1,TRUE,
Armorer,Inventor,3,3,1,15,0,0,1,1,TRUE,
Armorer,Mental Tools,3,4,1,15,1,1,1,0,TRUE,Always count as havng the right tools for the job when performing Mechanics checks .
Armorer,Comprehend Technology,4,1,1,20,1,0,0,1,TRUE,Take Comprehend Technology action; make an Average (:pu: :pu:) Knowledge (Education) check to use Force rating as ranks in skills to use single item.
Armorer,Tinkerer,4,2,1,20,1,1,1,1,TRUE,
Armorer,Falling Avalanche,4,3,1,20,0,0,1,1,TRUE,Suffer 2 strain to add damage equal to Brawn to next Lightsaber combat check made this turn.
Armorer,Armor Master (Supreme),4,4,1,20,1,1,1,0,TRUE,Once per round. may suffer 3 strain to take the Armor Master incidental; reduce the next Critical lnjury suffered by 10 per Point of soak to a minimum of 1.
Armorer,Force Rating,5,1,1,25,0,0,0,1,TRUE,
Armorer,Imbue Item,5,2,1,25,1,0,1,1,TRUE,"Take the Imbue Item maneuver; suffer 1 strain and commit :wh: to grant one weapon, piece of armor, or item an improvement while :wh: remains committed. Suffer 1 strain every round :wh: remains committed."
Armorer,Reinforce Item,5,3,1,25,0,0,1,0,TRUE,Take the Reinforce Item maneuver: commit :wh: :wh: to grant one weapon or piece of armor the Cortosis quality while :wh: :wh: remains commilted. Suffer 3 strain every round :wh: :wh: remains committed.
Armorer,Dedication,5,4,1,25,1,0,0,0,TRUE,
Warden,Grit,1,1,1,5,0,1,0,0,TRUE,
Warden,Toughened,1,2,1,5,0,1,0,0,TRUE,
Warden,Intimidating,1,3,1,5,0,1,0,0,TRUE,
Warden,Grit,1,4,1,5,0,1,0,0,TRUE,
